id;type;phone_number;email;pwd_hash
1;Cx;630-555-1087;james.cole@somemail.com;some_hash_software_created
2;Staff;630-555-1319;kyle.slade@mental.com;some_hash_software_created
3;Cx;101-555-1399;jennifer.goines@primary.com;some_hash_software_created
4;Cx;630-555-1663;katarina.wagner@something.ger;some_hash_software_created
5;Staff;510-555-1951;olivia.kirschner@witness.com;some_hash_software_created
6;Staff;101-555-1453;leland.frost@markridge.gouv;some_hash_software_created
7;Staff;510-555-9109;mantis@fakemail.com;some_hash_software_created
8;Staff;101-555-1301;julian.adler@mit-edu.com;some_hash_software_created
9;Staff;510-555-9973;marker.aaron@fake-senate.gouv;some_hash_software_created
10;Staff;630-555-1949;robet_gale@fbi.gouv;some_hash_software_created
11;Cx;510-555-9059;sen.royce@senate.gouv;some_hash_software_created
12;Staff;510-555-2003;henri_toussaint@cdc.org;some_hash_software_created
13;Staff;101-555-9511;hannah_jones@zeit.ger;some_hash_software_created
14;Cx;101-555-9743;cassie@cdc.org;some_hash_software_created
15;Staff;630-555-1811;peters.o@markridge.gouv;some_hash_software_created
16;Staff;630-555-9199;deacon@west7.com;some_hash_software_created
17;Staff;630-555-9391;ssg.whitley@spearhead.org;some_hash_software_created
18;Staff;101-555-1997;col.jonathan_foster@spearhead.com;some_hash_software_created
19;Staff;101-555-1787;jose_ramse@bff.com;some_hash_software_created
